scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
4,1.317997,-1.024673,1.191844,-0.06375176
4,1.330511,-1.02466,1.19187,-0.06366915
4,1.340465,-1.024656,1.191873,-0.06357396
4,1.351024,-1.024675,1.191927,-0.06354022
4,1.363232,-1.024667,1.191941,-0.06345701
4,1.373723,-1.024651,1.191958,-0.06337768
4,1.384953,-1.024619,1.191943,-0.06336969
4,1.396152,-1.02459,1.191937,-0.06328869
4,1.407033,-1.02454,1.191918,-0.06320447
4,1.418328,-1.024474,1.19184,-0.06305289
4,1.429948,-1.024461,1.191913,-0.06314355
4,1.44078,-1.024422,1.191889,-0.06310862
4,1.451812,-1.024332,1.191806,-0.06298578
5,0,-1.024862,1.191198,-0.06364906
5,0.0118733,-1.024895,1.191166,-0.06360561
5,0.0237466,-1.024944,1.191301,-0.06371379
5,0.0411502,-1.025001,1.191439,-0.06377399
5,0.0516308,-1.025047,1.191583,-0.06387842
5,0.0632786,-1.025017,1.191647,-0.06392467
5,0.0744032,-1.024954,1.191697,-0.06394601
5,0.0863927,-1.024929,1.191801,-0.06399906
5,0.0970335,-1.024852,1.191905,-0.06397593
5,0.1079477,-1.024778,1.192012,-0.06396616
5,0.1194528,-1.024738,1.192167,-0.06406885
5,0.1306888,-1.024663,1.19224,-0.06408608
5,0.1415079,-1.024571,1.192332,-0.06408876
5,0.1527492,-1.024524,1.192453,-0.06411123
5,0.1639345,-1.02443,1.192555,-0.06411588
5,0.1752392,-1.02433,1.192605,-0.06404591
5,0.1861041,-1.024246,1.192824,-0.06418097
5,0.1971288,-1.024105,1.192953,-0.06422263
5,0.2084543,-1.023926,1.193069,-0.06425345
5,0.2195433,-1.023764,1.193208,-0.06432271
5,0.2307652,-1.023566,1.193266,-0.06432265
5,0.2422695,-1.023368,1.193323,-0.06431508
5,0.2535218,-1.023132,1.193372,-0.06429249
5,0.2645384,-1.022874,1.193471,-0.0642575
5,0.2756006,-1.022621,1.193592,-0.06421214
5,0.2869887,-1.022346,1.193695,-0.06422985
5,0.2978538,-1.022081,1.193805,-0.06419432
5,0.3090586,-1.021772,1.193813,-0.06401098
5,0.3205316,-1.021468,1.194025,-0.06403053
5,0.3324617,-1.021122,1.19411,-0.06399143
5,0.342804,-1.02072,1.194195,-0.06391841
5,0.3537091,-1.020292,1.194278,-0.06380272
5,0.3656905,-1.019928,1.194366,-0.06371742
5,0.3765739,-1.019565,1.194455,-0.06362164
5,0.3875851,-1.019235,1.194513,-0.06349182
5,0.398476,-1.018856,1.194629,-0.06341064
5,0.4103958,-1.018435,1.194713,-0.06322896
5,0.4208934,-1.018194,1.195027,-0.06327283
5,0.43234,-1.017896,1.195247,-0.0631671
5,0.4442791,-1.017635,1.195357,-0.06292057
5,0.4556342,-1.01742,1.195616,-0.06294405
5,0.4678699,-1.017237,1.195727,-0.06278908
5,0.4800188,-1.017025,1.195704,-0.06247211
5,0.4928458,-1.016918,1.195824,-0.06252903
5,0.5022026,-1.016741,1.195883,-0.06237602
5,0.5121874,-1.016646,1.195825,-0.06213874
5,0.5234703,-1.016597,1.196036,-0.06208593
5,0.5353504,-1.016523,1.196049,-0.06194687
5,0.5470213,-1.016499,1.196013,-0.0616976
5,0.5577052,-1.016476,1.196136,-0.06176019
5,0.5695266,-1.016438,1.196176,-0.0616653
5,0.5805907,-1.016388,1.196097,-0.06149262
5,0.5927194,-1.016332,1.196263,-0.06148517
5,0.6042035,-1.016319,1.196328,-0.061432
5,0.6151811,-1.016322,1.196324,-0.06128061
5,0.6281977,-1.016344,1.196462,-0.06132597
5,0.6399733,-1.016352,1.19649,-0.06125957
5,0.6522391,-1.016383,1.196486,-0.06113857
5,0.6645532,-1.01648,1.196647,-0.06118041
5,0.6770815,-1.016505,1.196607,-0.0610894
5,0.6891285,-1.016566,1.196675,-0.06121552
5,0.7003285,-1.016597,1.196665,-0.06121343
5,0.7116897,-1.016558,1.196592,-0.06119746
5,0.7225375,-1.016587,1.196643,-0.0613116
5,0.7341174,-1.016578,1.196614,-0.06135648
5,0.7457192,-1.016657,1.196534,-0.06132078
5,0.756173,-1.016703,1.196598,-0.06148881
5,0.7676289,-1.016709,1.196609,-0.06155682
5,0.7788695,-1.016726,1.19655,-0.06154865
5,0.7894283,-1.016803,1.196581,-0.06174392
5,0.8007473,-1.01685,1.196549,-0.06180221
5,0.8125725,-1.016935,1.196457,-0.06178367
5,0.8244652,-1.017007,1.196518,-0.06192482
6,0,-1.019545,1.194824,-0.06213862
6,0.0113765,-1.019602,1.19479,-0.06212437
6,0.022753,-1.019655,1.194801,-0.06206727
6,0.0335789,-1.019715,1.194825,-0.06209975
6,0.0450523,-1.019774,1.194837,-0.06207323
6,0.0562244,-1.019826,1.194845,-0.06207085
6,0.0672576,-1.019906,1.194926,-0.06218457
6,0.0782004,-1.019985,1.19497,-0.06220728
6,0.0898884,-1.020067,1.194997,-0.06219912
6,0.1014406,-1.02017,1.195099,-0.06229651
6,0.1121393,-1.020283,1.195122,-0.06231445
6,0.1232729,-1.020323,1.195119,-0.06234634
6,0.134588,-1.020447,1.195179,-0.06249911
6,0.1454951,-1.020531,1.195189,-0.0625481
6,0.1568012,-1.020729,1.195148,-0.06252587
6,0.168939,-1.020881,1.195144,-0.06268328
6,0.1789955,-1.020975,1.195135,-0.06270027
6,0.190477,-1.021063,1.195055,-0.06267583
6,0.2013137,-1.021151,1.195067,-0.06272495
6,0.2127477,-1.021199,1.194994,-0.06270587
6,0.224647,-1.021311,1.194896,-0.06267697
6,0.2357502,-1.021402,1.194886,-0.06277114
6,0.2474944,-1.021489,1.194853,-0.0627656
6,0.2586101,-1.021546,1.194795,-0.06274384
6,0.2708652,-1.021621,1.194817,-0.06278217
6,0.2817099,-1.021674,1.19481,-0.06280124
6,0.2937354,-1.021715,1.194794,-0.06281608
6,0.3050177,-1.021799,1.194831,-0.06287503
6,0.3163446,-1.021887,1.194791,-0.06286907
6,0.3276454,-1.02195,1.194713,-0.06281281
6,0.3395073,-1.022025,1.194734,-0.06282365
6,0.3508258,-1.022135,1.194694,-0.06278795
6,0.3623698,-1.022175,1.194646,-0.06272864
6,0.374014,-1.022278,1.194701,-0.06276792
6,0.3853933,-1.022374,1.194728,-0.06274867
